,ID.Year,Year,ID.Race,Race,Household.Income.by.Race,Household.Income.by.Race.Moe,Geography,ID.Geography,Sector
624,2016,2016,0,Total,98851,12322,"Census Tract 51, King County, WA",14000US53033005100,B
625,2016,2016,0,Total,66594,8141,"Census Tract 50, King County, WA",14000US53033005000,B
630,2016,2016,0,Total,72256,5372,"Census Tract 49, King County, WA",14000US53033004900,B
634,2016,2016,0,Total,106338,7087,"Census Tract 48, King County, WA",14000US53033004800,B
635,2016,2016,0,Total,75881,5331,"Census Tract 47, King County, WA",14000US53033004700,B
640,2016,2016,0,Total,120938,17473,"Census Tract 46, King County, WA",14000US53033004600,J
644,2016,2016,0,Total,91538,13865,"Census Tract 45, King County, WA",14000US53033004500,B
645,2016,2016,0,Total,53763,7900,"Census Tract 44, King County, WA",14000US53033004400,U
650,2016,2016,0,Total,22880,7408,"Census Tract 43.02, King County, WA",14000US53033004302,U
654,2016,2016,0,Total,73667,17990,"Census Tract 43.01, King County, WA",14000US53033004301,U
655,2016,2016,0,Total,113432,9082,"Census Tract 42, King County, WA",14000US53033004200,U
660,2016,2016,0,Total,146902,14992,"Census Tract 41, King County, WA",14000US53033004100,U
665,2016,2016,0,Total,110556,23838,"Census Tract 39, King County, WA",14000US53033003900,U
670,2016,2016,0,Total,91875,21590,"Census Tract 38, King County, WA",14000US53033003800,U
674,2016,2016,0,Total,65960,9300,"Census Tract 36, King County, WA",14000US53033003600,J
675,2016,2016,0,Total,83550,7063,"Census Tract 35, King County, WA",14000US53033003500,B
680,2016,2016,0,Total,103333,16020,"Census Tract 34, King County, WA",14000US53033003400,B
684,2016,2016,0,Total,92746,11122,"Census Tract 33, King County, WA",14000US53033003300,J
685,2016,2016,0,Total,84846,13059,"Census Tract 32, King County, WA",14000US53033003200,B
690,2016,2016,0,Total,100468,9103,"Census Tract 31, King County, WA",14000US53033003100,J
694,2016,2016,0,Total,93155,15525,"Census Tract 30, King County, WA",14000US53033003000,J
695,2016,2016,0,Total,96685,10348,"Census Tract 29, King County, WA",14000US53033002900,J
700,2016,2016,0,Total,100859,17340,"Census Tract 28, King County, WA",14000US53033002800,J
704,2016,2016,0,Total,118790,17154,"Census Tract 27, King County, WA",14000US53033002700,J
705,2016,2016,0,Total,99583,17935,"Census Tract 26, King County, WA",14000US53033002600,U
710,2016,2016,0,Total,101397,8388,"Census Tract 25, King County, WA",14000US53033002500,U
714,2016,2016,0,Total,111964,14328,"Census Tract 24, King County, WA",14000US53033002400,U
715,2016,2016,0,Total,134792,25832,"Census Tract 22, King County, WA",14000US53033002200,U
720,2016,2016,0,Total,89900,10749,"Census Tract 21, King County, WA",14000US53033002100,U
724,2016,2016,0,Total,90855,13326,"Census Tract 20, King County, WA",14000US53033002000,L
725,2016,2016,0,Total,67450,11614,"Census Tract 19, King County, WA",14000US53033001900,L
730,2016,2016,0,Total,81680,17465,"Census Tract 18, King County, WA",14000US53033001800,N
734,2016,2016,0,Total,65984,8429,"Census Tract 17.02, King County, WA",14000US53033001702,J
735,2016,2016,0,Total,66042,6344,"Census Tract 17.01, King County, WA",14000US53033001701,J
740,2016,2016,0,Total,102558,11812,"Census Tract 16, King County, WA",14000US53033001600,N
744,2016,2016,0,Total,100179,18396,"Census Tract 15, King County, WA",14000US53033001500,J
745,2016,2016,0,Total,70689,8643,"Census Tract 14, King County, WA",14000US53033001400,N
750,2016,2016,0,Total,63077,11006,"Census Tract 13, King County, WA",14000US53033001300,N
754,2016,2016,0,Total,42232,7247,"Census Tract 12, King County, WA",14000US53033001200,L
755,2016,2016,0,Total,73984,13712,"Census Tract 11, King County, WA",14000US53033001100,L
760,2016,2016,0,Total,75167,14963,"Census Tract 10, King County, WA",14000US53033001000,L
764,2016,2016,0,Total,135227,29465,"Census Tract 9, King County, WA",14000US53033000900,L
765,2016,2016,0,Total,92917,17786,"Census Tract 8, King County, WA",14000US53033000800,L
770,2016,2016,0,Total,51371,3137,"Census Tract 7, King County, WA",14000US53033000700,L
774,2016,2016,0,Total,57023,10048,"Census Tract 6, King County, WA",14000US53033000600,N
775,2016,2016,0,Total,126544,17356,"Census Tract 5, King County, WA",14000US53033000500,N
780,2016,2016,0,Total,61184,13257,"Census Tract 4.02, King County, WA",14000US53033000402,N
784,2016,2016,0,Total,32196,2396,"Census Tract 4.01, King County, WA",14000US53033000401,N
785,2016,2016,0,Total,65781,17808,"Census Tract 3, King County, WA",14000US53033000300,N
790,2016,2016,0,Total,63727,6832,"Census Tract 2, King County, WA",14000US53033000200,L
798,2015,2015,0,Total,59275,4354,"Census Tract 101, King County, WA",14000US53033010100,R
799,2015,2015,0,Total,101397,8048,"Census Tract 31, King County, WA",14000US53033003100,J
800,2015,2015,0,Total,72396,9071,"Census Tract 47, King County, WA",14000US53033004700,B
803,2015,2015,0,Total,67572,13612,"Census Tract 70, King County, WA",14000US53033007000,Q
805,2015,2015,0,Total,84324,13360,"Census Tract 102, King County, WA",14000US53033010200,R
813,2015,2015,0,Total,57750,9373,"Census Tract 103, King County, WA",14000US53033010300,R
814,2015,2015,0,Total,74143,6457,"Census Tract 71, King County, WA",14000US53033007100,Q
818,2015,2015,0,Total,93155,14905,"Census Tract 48, King County, WA",14000US53033004800,B
820,2015,2015,0,Total,60682,12409,"Census Tract 104.01, King County, WA",14000US53033010401,R
821,2015,2015,0,Total,80400,9199,"Census Tract 20, King County, WA",14000US53033002000,L
