기간	자치구	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적	119구조활동실적
기간	자치구	출동건수	출동건수	출동건수	출동건수	출동건수	출동건수	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원	구조인원
기간	자치구	계	처리	처리	처리	처리	미처리(자체처리허위등)	사상별	사상별	사상별	사상별	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원	사고종별구조인원
기간	자치구	계	계	인명구조	안전조치	기타활동	미처리(자체처리허위등)	계	사망	부상	기타	계	화재	교통사고	수난사고	기계사고	건물사고	승강기사고	산악사고	갇힘사고	폭발사고	기타
2013	노원구	5,726	5,383	886	3,742	755	343	1,188	11	191	986	1,188	15	67	2	12	-	317	154	358	1	262
2013	은평구	5,190	4,742	679	2,372	1,691	448	1,249	16	94	1,139	1,249	56	43	-	9	1	335	117	286	-	402
2013	서대문구	4,014	3,802	364	2,440	998	212	543	3	93	447	543	50	103	-	6	-	156	18	111	-	99
2013	마포구	5,598	5,145	675	3,110	1,360	453	1,083	11	169	903	1,083	98	178	108	4	-	322	2	233	-	138
2013	양천구	3,511	3,095	421	2,044	630	416	812	8	100	704	812	220	52	1	7	-	272	2	178	2	78
2013	강서구	5,892	5,304	825	3,168	1,311	588	1,552	28	353	1,171	1,552	118	407	29	11	6	488	6	331	-	156
2013	구로구	5,144	4,137	453	2,829	855	1,007	709	11	72	626	709	66	72	-	3	-	253	1	217	-	97
2013	금천구	3,567	3,030	235	2,230	565	537	341	7	82	252	341	15	52	1	7	-	113	18	98	2	35
2013	영등포구	6,609	5,774	747	3,796	1,231	835	1,141	37	165	939	1,141	147	114	253	8	-	294	-	190	-	135
2013	동작구	4,816	4,212	690	2,752	770	604	1,842	35	102	1,705	1,842	87	73	12	9	43	318	1	380	-	919
2013	관악구	3,999	3,452	497	1,959	996	547	785	18	137	630	785	178	21	-	3	1	129	176	207	-	70
2013	서초구	6,316	5,046	501	3,633	912	1,270	793	8	136	649	793	34	99	25	5	-	335	49	173	-	73
2013	강남구	6,992	5,763	725	3,674	1,364	1,229	1,028	21	131	876	1,028	29	106	28	7	-	379	10	264	-	205
2013	송파구	6,376	5,138	566	2,807	1,765	1,238	2,196	11	187	1,998	2,196	1,245	161	27	7	6	360	9	226	31	124
2013	강동구	4,466	3,842	438	2,219	1,185	624	922	7	113	802	922	248	42	17	3	1	371	6	176	-	58
2013	기타	5,412	4,770	494	3,006	1,270	642	660	9	117	534	660	67	20	14	11	1	159	111	181	-	96
2014	합계	131,257	115,012	14,153	83,999	16,860	16,245	21,593	369	4,159	17,065	21,593	2,669	2,674	1,064	203	8	5,514	1,309	5,243	12	2,897
2014	종로구	5,046	4,307	376	3,173	758	739	522	3	159	360	522	20	49	-	15	-	161	128	84	-	65
2014	중구	2,936	2,495	315	1,649	531	441	681	17	80	584	681	255	56	-	9	-	183	1	114	1	62
2014	용산구	4,211	3,651	486	2,864	301	560	623	18	90	515	623	21	91	133	3	-	122	2	163	-	88
2014	성동구	3,757	3,194	319	2,190	685	563	1,027	13	590	424	1,027	35	686	55	10	-	83	-	72	-	86
2014	광진구	3,756	3,477	564	2,206	707	279	825	24	92	709	825	150	68	53	3	-	145	41	214	-	151
2014	동대문구	5,690	4,888	583	3,673	632	802	899	8	105	786	899	42	60	4	5	-	362	1	268	-	157
2014	중랑구	4,866	4,386	357	3,270	759	480	514	11	123	380	514	54	39	2	9	1	171	57	110	-	71
2014	성북구	6,372	5,776	375	4,523	878	596	568	7	45	516	568	104	17	-	2	-	155	22	174	-	94
2014	강북구	4,613	4,136	365	3,135	636	477	511	10	125	376	511	45	44	-	3	-	150	110	110	-	49
2014	도봉구	3,501	3,404	577	2,550	277	97	786	10	205	571	786	47	48	-	3	1	143	194	252	-	98
2014	노원구	6,437	6,061	821	4,760	480	376	1,268	7	210	1,051	1,268	11	81	-	14	-	497	146	342	-	177
2014	은평구	5,497	4,907	647	3,323	937	590	810	22	222	566	810	51	53	-	12	-	132	180	199	8	175
2014	서대문구	3,713	3,409	358	2,593	458	304	600	9	119	472	600	107	130	-	7	-	119	39	114	1	83
2014	마포구	5,654	5,224	763	3,743	718	430	1,003	18	129	856	1,003	34	107	157	14	-	297	2	261	-	131
2014	양천구	3,975	3,456	400	2,680	376	519	843	3	61	779	843	371	33	1	5	-	169	2	163	-	99
2014	강서구	6,196	5,538	852	3,997	689	658	1,306	35	282	989	1,306	136	227	35	9	-	362	8	395	-	134
2014	구로구	5,952	4,714	532	3,744	438	1,238	829	12	123	694	829	96	94	-	10	-	255	5	251	-	118
2014	금천구	4,123	3,320	225	2,763	332	803	343	4	104	235	343	10	75	-	4	-	100	27	90	1	36
2014	영등포구	6,986	6,193	1,034	4,564	595	793	1,489	47	288	1,154	1,489	216	108	448	12	2	324	-	225	1	153
2014	동작구	4,789	3,970	468	3,124	378	819	671	21	61	589	671	34	45	20	7	-	214	4	220	-	127
2014	관악구	3,538	3,101	509	2,185	407	437	668	15	125	528	668	29	35	-	7	-	159	127	210	-	101
2014	서초구	6,248	5,108	616	3,893	599	1,140	859	9	199	651	859	54	156	37	7	-	256	47	198	-	104
2014	강남구	8,350	7,397	959	4,832	1,606	953	1,295	6	115	1,174	1,295	131	130	44	4	1	352	23	360	-	250
2014	송파구	6,476	5,406	701	3,562	1,143	1,070	1,291	16	183	1,092	1,291	426	135	39	20	1	249	22	286	-	113
2014	강동구	4,268	3,698	449	2,220	1,029	570	706	13	134	559	706	126	69	34	4	2	203	6	177	-	85
2014	기타	4,307	3,796	502	2,783	511	511	656	11	190	455	656	64	38	2	5	-	151	115	191	-	90
2015	합계	127,481	109,767	14,761	87,900	7,106	17,714	19,912	350	3,105	16,457	19,912	920	1,797	899	186	105	5,674	1,204	2,147	5	6,975
2015	종로구	4,679	3,854	404	3,113	337	825	680	5	156	519	680	5	59	-	5	-	214	109	55	3	230
2015	중구	3,031	2,611	424	2,030	157	420	688	4	78	606	688	51	97	-	19	1	265	3	38	1	213
2015	용산구	3,979	3,624	576	2,944	104	355	765	20	74	671	765	53	94	110	1	3	187	3	30	-	284
2015	성동구	3,300	2,798	314	2,114	370	502	429	11	58	360	429	23	50	32	6	-	169	-	38	-	111
2015	광진구	3,782	3,348	620	2,286	442	434	850	22	90	738	850	55	74	75	5	-	200	49	63	-	329
2015	동대문구	5,215	4,330	437	3,630	263	885	546	12	75	459	546	23	54	2	3	1	203	1	88	-	171
2015	중랑구	4,561	3,938	373	3,255	310	623	466	4	76	386	466	23	30	-	1	-	177	26	46	-	163
2015	성북구	5,921	5,308	411	4,604	293	613	478	10	75	393	478	7	30	-	6	-	126	23	101	-	185
2015	강북구	4,512	4,022	326	3,396	300	490	440	8	98	334	440	24	40	-	7	-	95	86	60	-	128
2015	도봉구	3,636	3,331	681	2,466	184	305	908	9	199	700	908	34	29	-	8	1	236	221	89	-	290
2015	노원구	6,322	5,688	756	4,486	446	634	987	20	207	760	987	27	55	4	15	-	342	145	103	-	296
2015	은평구	5,416	4,547	709	3,549	289	869	840	25	195	620	840	7	46	-	10	1	193	186	81	-	316
2015	서대문구	3,672	3,232	414	2,597	221	440	495	5	98	392	495	23	66	-	7	2	140	35	101	1	120
2015	마포구	5,366	4,792	821	3,789	182	574	988	15	125	848	988	33	110	131	11	5	273	1	106	-	318
2015	양천구	3,957	3,273	521	2,540	212	684	715	7	59	649	715	48	43	-	2	-	275	1	111	-	235
2015	강서구	6,263	5,350	840	4,253	257	913	951	21	175	755	951	8	138	16	11	4	242	8	90	-	434
2015	구로구	5,360	4,432	532	3,764	136	928	717	11	67	639	717	20	34	1	10	-	285	4	143	-	220
2015	금천구	3,729	3,156	238	2,698	220	573	291	5	56	230	291	2	15	-	7	6	103	18	58	-	82
2015	영등포구	6,613	6,056	1,102	4,770	184	557	1,525	45	199	1,281	1,525	75	157	344	4	4	439	-	91	-	411
2015	동작구	4,412	3,781	402	3,258	121	631	632	6	118	508	632	17	31	21	9	65	195	3	110	-	181
2015	관악구	5,989	4,836	818	3,687	331	1,153	1,560	22	137	1,401	1,560	39	49	2	4	2	203	184	162	-	915
2015	서초구	7,485	6,264	662	5,369	233	1,221	815	11	145	659	815	27	123	41	4	-	230	64	102	-	224
2015	강남구	9,389	8,041	1,151	6,361	529	1,348	1,514	17	165	1,332	1,514	111	187	38	12	10	485	9	119	-	543
2015	송파구	6,174	5,068	644	3,927	497	1,106	796	22	154	620	796	42	114	54	10	-	191	9	68	-	308
2015	강동구	4,286	3,714	520	2,753	441	572	637	11	84	542	637	15	72	28	9	-	206	2	73	-	232
2015	기타	432	373	65	261	47	59	199	2	142	55	199	128	-	-	-	-	-	14	21	-	36
2016	합계	134,920	115,724	17,493	91,419	6,812	19,196	21,867	332	2,808	18,727	21,867	1,032	1,960	894	203	45	7,107	1,114	5,833	9	3,670
2016	종로구	4,690	3,944	515	3,161	268	746	994	3	174	817	994	18	52	-	8	6	287	131	135	1	356
2016	중구	3,015	2,623	392	2,111	120	392	521	8	57	456	521	10	48	-	16	-	200	-	149	-	98
2016	용산구	4,363	3,884	590	3,215	79	479	774	14	149	611	774	79	120	92	5	-	175	-	194	-	109
2016	성동구	3,209	2,722	524	1,829	369	487	855	11	103	741	855	60	309	69	8	1	182	-	144	2	80
2016	광진구	4,055	3,509	721	2,239	549	546	926	19	114	793	926	75	111	41	8	-	265	44	240	-	142
2016	동대문구	5,423	4,697	637	3,747	313	726	778	13	70	695	778	43	44	-	8	-	284	2	257	-	140
2016	중랑구	5,124	4,372	537	3,621	214	752	671	17	83	571	671	128	38	-	6	2	191	39	190	-	77
2016	성북구	6,106	5,504	560	4,718	226	602	622	7	79	536	622	29	44	-	6	-	189	22	191	-	141
2016	강북구	4,642	4,250	433	3,660	157	392	522	9	96	417	522	4	13	-	7	1	147	102	173	-	75
2016	도봉구	3,784	3,429	658	2,588	183	355	1,033	6	166	861	1,033	41	46	2	7	1	156	180	242	-	358
2016	노원구	6,510	5,966	1,098	4,651	217	544	1,583	19	161	1,403	1,583	33	104	11	7	1	557	123	514	-	233
2016	은평구	6,191	5,372	790	4,392	190	819	871	24	176	671	871	22	42	1	10	-	176	196	307	-	117
2016	서대문구	3,985	3,471	518	2,757	196	514	667	8	74	585	667	7	76	1	6	5	258	23	193	-	98
2016	마포구	5,686	5,099	1,008	3,860	231	587	1,033	23	110	900	1,033	24	119	122	5	-	311	1	290	1	160
2016	양천구	4,426	3,899	629	3,033	237	527	761	8	45	708	761	5	39	3	9	5	437	-	167	-	96
2016	강서구	6,717	5,877	906	4,780	191	840	1,063	22	81	960	1,063	63	126	47	7	7	430	4	268	-	111
